provision_id                      rank  score  determinacy
sfs-2026-408:K9P3                 128   14.0   specific   
sfs-2026-1011:K4P14               129   14.0   unmarked   
sfs-2026-1281:K6P3                130   14.0   unmarked   
sfs-2026-772:K1P1:occurrence:2    131   14.0   vague      
sfs-2026-1281:K15P6               132   14.0   specific   
sfs-1976-580:P66                  133   14.0   specific   
sfs-2026-772:K7P2                 134   14.0   unmarked   
sfs-2026-1281:K12P3               135   14.0   specific   
sfs-2008-567:K5P1                 136   14.0   unmarked   
sfs-1976-580:P34                  137   14.0   unmarked   
sfs-1976-580:P28                  138   14.0   specific   
sfs-2026-1011:K1P3                139   14.0   specific   
sfs-2026-1281:K1P5                140   14.0   specific   
sfs-2026-723:P6                   141   13.0   unmarked   
sfs-2026-1281:K7P13               142   13.0   unmarked   
sfs-1982-673:P8                   143   13.0   specific   
sfs-2026-1281:K6P19               144   13.0   unmarked   
sfs-2026-786:K3P2                 145   13.0   unmarked   
sfs-1982-80:P33c                  146   13.0   specific   
sfs-2026-408:K20P2                147   13.0   unmarked   
sfs-2026-1274:P12                 148   13.0   specific   
sfs-2026-408:K9P9                 149   13.0   unmarked   
sfs-2026-1011:K4P13               150   13.0   unmarked   
sfs-2026-1460:P3                  151   13.0   unmarked   
sfs-2026-408:K12P2                152   13.0   unmarked   
sfs-2026-786:K5P7                 153   13.0   unmarked   
sfs-2026-484:K3P8                 154   13.0   vague      
sfs-1982-80:overgang:1994-1685    155   13.0   unmarked   
sfs-2026-999:K6P3:occurrence:2    156   13.0   unmarked   
sfs-2026-999:K6P3                 157   13.0   unmarked   
sfs-2026-1281:K9P29               158   13.0   unmarked   
sfs-2026-1283:K9P5                159   13.0   unmarked   
sfs-2008-567:K2P9                 160   13.0   vague      
sfs-1982-80:P43                   161   13.0   vague      
sfs-2026-806:P3:occurrence:2      162   13.0   unmarked   
sfs-2026-1281:K11P22              163   13.0   specific   
sfs-2026-408:K13P9                164   13.0   unmarked   
sfs-2026-1459:P7                  165   13.0   vague      
sfs-2008-567:K2P1                 166   13.0   unmarked   
sfs-2026-1274:P9                  167   13.0   vague      
sfs-2026-786:K10P6                168   13.0   unmarked   
sfs-2026-484:K3P6                 169   13.0   vague      
sfs-2026-408:K5P3                 170   13.0   unmarked   
sfs-2008-567:K2P12a               171   13.0   vague      
sfs-2026-585:P16                  172   13.0   unmarked   
sfs-2026-1011:K4P15               173   13.0   vague      
sfs-2008-567:K2P15                174   13.0   unmarked   
sfs-2026-1281:K9P26               175   13.0   unmarked   
sfs-2026-1011:K3P7                176   13.0   unmarked   
