proposal_id,speaker,party,session,operation,direction,target
bieler_las_more_exceptions,Paula Bieler,SD,2014/15,exception_inserted,loosening,Lag (1982:80) om anställningsskydd – skyddsplikten
turordning_remove_exceptions_S,Ulf Holm,MP,2003/04,exception_removed,tightening,Lag (1982:80) om anställningsskydd 22 § – turordning
