provision_id                           rank  score  determinacy
sfs-2019-504:P8                        125   17.0   specific   
sfs-2022-725:P47                       126   17.0   specific   
sfs-2022-700:K3P9:occurrence:2         127   17.0   specific   
sfs-2016-1117:P14                      128   17.0   specific   
sfs-2023-560:P15                       129   17.0   specific   
sfs-2019-742:K10P6                     130   17.0   specific   
sfs-2018-1138:K4P8                     131   17.0   specific   
sfs-2019-742:K10P54                    132   17.0   specific   
sfs-2024-7:P8                          133   17.0   specific   
sfs-2024-506:K5P8                      134   17.0   specific   
sfs-2019-742:K10P31                    135   17.0   specific   
sfs-2022-482:K7P8                      136   17.0   specific   
sfs-2024-945:K15P12                    137   17.0   specific   
sfs-2025-400:K18P8                     138   17.0   specific   
sfs-2018-1653:K5P4                     139   17.0   unmarked   
sfs-2022-260:K9P18                     140   17.0   specific   
sfs-2025-400:K9P13                     141   17.0   specific   
sfs-2016-752:P14                       142   17.0   specific   
sfs-2014-968:K1aP41                    143   17.0   specific   
sfs-2018-1219:K2P3                     144   17.0   specific   
sfs-1977-480:P18                       145   17.0   specific   
sfs-2019-1182:K4P2                     146   17.0   specific   
sfs-2022-482:K11P16                    147   17.0   specific   
sfs-2016-1013:P46                      148   17.0   specific   
sfs-2017-630:K3P9                      149   17.0   specific   
sfs-2018-1696:K4P2                     150   17.0   specific   
sfs-2026-772:K1P4:occurrence:2         151   17.0   specific   
sfs-2016-960:P11                       152   17.0   specific   
sfs-2025-520:K3P9                      153   17.0   unmarked   
sfs-2018-1219:K3P5                     154   17.0   specific   
sfs-2018-1693:K4P2                     155   17.0   specific   
sfs-2018-1694:K4P2                     156   17.0   specific   
sfs-2018-1695:K4P2                     157   17.0   specific   
sfs-2022-760:K3P14                     158   17.0   specific   
sfs-2022-700:K3P2                      159   17.0   specific   
sfs-2018-1177:K3P9                     160   17.0   specific   
sfs-2015-911:K8P3                      161   17.0   specific   
sfs-2023-200:K10P79                    162   17.0   specific   
sfs-2015-642:K3P14                     163   17.0   specific   
sfs-2025-400:K29P11                    164   17.0   specific   
sfs-2023-340:P18                       165   17.0   specific   
sfs-2014-1020:P15                      166   17.0   specific   
sfs-2018-1219:K2P1                     167   17.0   specific   
sfs-2018-558:P24                       168   17.0   specific   
sfs-2022-366:K7P2                      169   17.0   specific   
sfs-2018-672:K11P14                    170   17.0   unmarked   
sfs-2024-782:K4P3                      171   17.0   specific   
sfs-2016-1091:K7P2                     172   17.0   specific   
sfs-2017-1000:K4P15                    173   17.0   specific   
sfs-2023-875:K1P3                      174   17.0   specific   
sfs-1995-584:P4                        175   17.0   specific   
sfs-2025-520:K5P6                      176   17.0   unmarked   
sfs-2022-700:K3P1                      177   17.0   specific   
sfs-2022-850:overgang:2022-850         178   17.0   specific   
sfs-2022-700:K3P1:occurrence:2         179   17.0   specific   
sfs-2022-856:P19                       180   17.0   specific   
sfs-2022-964:K5P2                      181   17.0   specific   
sfs-2015-315:K4P17                     182   17.0   specific   
sfs-2018-1699:K5P6                     183   17.0   specific   
sfs-2017-527:P15                       184   17.0   specific   
sfs-2018-597:K3P15                     185   17.0   specific   
sfs-2024-1146:K2P7                     186   17.0   specific   
sfs-1977-480:P5                        187   17.0   specific   
sfs-2026-408:K12P4                     188   17.0   vague      
sfs-2026-1358:K2P9                     189   17.0   specific   
sfs-2016-1146:K19P7                    190   17.0   specific   
sfs-2026-408:K16P8                     191   17.0   specific   
sfs-2024-1006:P13                      192   17.0   unmarked   
sfs-2016-1145:K19P7                    193   17.0   specific   
sfs-2026-1113:P7                       194   17.0   specific   
sfs-2019-1197:overgangP2:occurrence:9  195   17.0   specific   
sfs-2025-1053:K6P4                     196   17.0   specific   
sfs-2022-725:P25                       197   17.0   unmarked   
sfs-2022-818:K4P6                      198   17.0   specific   
sfs-2016-1145:K17P11                   199   17.0   unmarked   
sfs-2025-400:K16P1                     200   17.0   specific   
sfs-2022-964:K5P3                      201   17.0   unmarked   
sfs-2015-485:K3P14                     202   17.0   specific   
sfs-2016-675:P45                       203   17.0   specific   
sfs-2016-676:P47                       204   17.0   specific   
sfs-2016-1146:K10P5                    205   17.0   specific   
sfs-2016-145:P6                        206   17.0   specific   
sfs-2024-945:K10P7                     207   17.0   unmarked   
sfs-2016-1146:K20P17                   208   17.0   specific   
sfs-2016-1145:K10P4                    209   17.0   specific   
sfs-2016-1145:K20P17                   210   17.0   specific   
sfs-2018-672:K8P47                     211   17.0   specific   
sfs-2017-725:K4P8                      212   17.0   specific   
sfs-2016-1147:K16P17                   213   17.0   specific   
sfs-2018-672:K17P16                    214   17.0   specific   
sfs-2025-400:K17P2                     215   17.0   specific   
sfs-2022-482:K11P8                     216   17.0   unmarked   
sfs-2018-1217:K3P8                     217   17.0   specific   
sfs-2022-155:K7P6                      218   17.0   specific   
sfs-2022-156:K7P6                      219   17.0   specific   
sfs-2018-1217:K4P4                     220   17.0   vague      
sfs-2018-1693:K5P11                    221   17.0   specific   
sfs-2023-875:K6P15                     222   17.0   specific   
sfs-1995-584:P13                       223   17.0   specific   
sfs-2020-422:P10                       224   17.0   specific   
sfs-2015-417:K2P2                      225   17.0   unmarked   
sfs-2015-62:K6P6                       226   17.0   specific   
sfs-2018-1138:overgang:2018-1138       227   17.0   specific   
sfs-2019-32:K2P3                       228   17.0   specific   
sfs-2022-260:K3P5                      229   17.0   vague      
sfs-2015-911:K6P6                      230   17.0   specific   
sfs-2026-1281:K4P10                    231   17.0   unmarked   
sfs-2016-1145:K9P1                     232   17.0   unmarked   
sfs-2016-1146:K9P1                     233   17.0   unmarked   
sfs-2025-520:K3P22                     234   17.0   specific   
sfs-2026-408:K7P1                      235   17.0   vague      
sfs-2022-482:K3P21                     236   17.0   specific   
sfs-2008-567:K6P2                      237   17.0   specific   
sfs-1982-673:P13a                      238   17.0   specific   
sfs-2019-742:K15P12                    239   17.0   specific   
sfs-2026-999:K5P5:occurrence:2         240   17.0   specific   
sfs-2021-1171:K5P3                     241   17.0   specific   
sfs-2021-1172:K5P2                     242   17.0   specific   
sfs-2026-1575:K5P3                     243   17.0   specific   
sfs-2024-945:K20P7                     244   17.0   specific   
sfs-1982-673:P27                       245   17.0   specific   
sfs-2016-752:P17                       246   17.0   specific   
sfs-2017-353:P5                        247   17.0   specific   
sfs-2026-1600:K20P5                    248   16.0   specific   
sfs-2026-1601:K9P4                     249   16.0   specific   
sfs-2016-1108:K5P5                     250   16.0   specific   
sfs-2026-1281:K9P1                     251   16.0   specific   
sfs-2024-506:K10P3                     252   16.0   specific   
sfs-2016-1108:K4P9                     253   16.0   specific   
